episode,reward,loss,steps,success
1,-50,0.2594533394041814,50,0
2,-37,0.05515044058362643,48,1
3,-50,0.11232381309615448,50,0
4,-10,0.0032846867106854916,1,0
5,-50,0.10868099961895496,50,0
6,-1,0.15323591068348227,12,1
7,1,0.1990193202160299,10,1
8,-32,0.2191669451599212,23,0
9,-16,0.2543443085825337,7,0
10,-33,0.16470755689078942,24,0
11,-50,0.26928494323045016,50,0
12,-14,0.22750426791608333,5,0
13,-50,0.19555796859785915,50,0
14,-50,0.15348242482170463,50,0
15,-32,0.2315779902121943,23,0
16,-50,0.17154663553461433,50,0
17,-50,0.1718437911570072,50,0
18,-38,0.10992122289477563,49,1
19,-21,0.23033071868121624,12,0
20,-31,0.10857948491519148,22,0
21,-50,0.15501285886391997,50,0
22,-10,0.15385119315414203,21,1
23,-24,0.169913244673184,35,1
24,9,0.05637904070317745,2,1
25,-50,0.21005360025912523,50,0
26,-30,0.2632955734928449,21,0
27,6,0.21499016880989075,5,1
28,-8,0.09661488980054855,19,1
29,-50,0.13950977142900228,50,0
30,8,0.030607762436072033,3,1
31,-12,0.02245726405332486,3,0
32,-3,0.20997629700494663,14,1
33,-50,0.1182604113779962,50,0
34,-12,0.35650492707888287,3,0
35,3,0.1732487860135734,8,1
36,-4,0.08039613515138626,15,1
37,7,0.04728183802217245,4,1
38,-26,0.12821913417428732,37,1
39,-26,0.05319230143419083,17,0
40,-22,0.14708268501316057,33,1
41,-12,0.035288786029686096,23,1
42,-50,0.08573131299577653,50,0
43,0,0.18949482793157751,11,1
44,6,0.09688687324523926,5,1
45,-13,0.05119699297938496,24,1
46,-13,0.08588643802795559,24,1
47,-50,0.0522728909086436,50,0
48,4,0.039541429174797874,7,1
49,-33,0.0409033314155584,44,1
50,-14,0.024687560722231865,25,1
51,-14,0.03153922434896231,25,1
52,-50,0.022939818808808923,50,0
53,-13,0.020648921219011147,24,1
54,-27,0.023614752623769972,18,0
55,-18,0.01881408823075993,29,1
56,-4,0.008828911138698459,15,1
57,-15,0.008217132471215267,26,1
58,-2,0.007228960354740803,13,1
59,0,0.007406417809596116,11,1
60,7,0.005447122151963413,4,1
61,2,0.004664607307252784,9,1
62,-10,0.004526936274487525,21,1
63,-17,0.013588745325770495,28,1
64,-1,0.010696356805662314,12,1
65,-18,0.006299321254683209,29,1
66,4,0.01608457908566509,7,1
67,2,0.013365970303614935,9,1
68,-16,0.005938417683527978,27,1
69,8,0.0032422872415433326,3,1
70,-11,0.0111755858048458,22,1
71,-4,0.004828958446159959,15,1
72,10,0.0022214530035853386,1,1
73,-9,0.006530116737121716,20,1
74,-12,0.006660724402931722,23,1
75,-10,0.00379107373633555,21,1
76,-29,0.006735485105309635,20,0
77,-3,0.0029757179103658666,14,1
78,-32,0.003925054327335729,43,1
79,-11,0.0013849681391465392,22,1
80,-11,0.0009012366062961519,2,0
81,-18,0.0006271591580649517,29,1
82,-50,0.002045779811160173,50,0
83,-9,0.0010370380332460627,20,1
84,-5,0.0031306619275710545,16,1
85,-1,0.0015197361014240112,12,1
86,7,0.0009216684411512688,4,1
87,-4,0.0007636176111797491,15,1
88,7,0.002293209960043896,4,1
89,9,0.0026932088658213615,2,1
90,-2,0.0017147241518474543,13,1
91,8,0.000956575395927454,3,1
92,2,0.0006447134914601014,9,1
93,-10,0.0004818392626475543,1,0
94,1,0.00047540841915179045,10,1
95,-5,0.0011506027331051882,16,1
96,-6,0.0013940882122637156,17,1
97,-10,0.0006592085992451757,21,1
98,-8,0.0012378976328028856,19,1
99,-32,0.0006459314128394823,43,1
100,4,0.0007090650116359549,7,1
101,-1,0.0005420722445705906,12,1
102,-11,0.0002978462289320305,2,0
103,10,0.0002734942245297134,1,1
104,4,0.00033150142657437494,7,1
105,-2,0.00018785125464021874,13,1
106,0,0.0009204354798632928,11,1
107,-2,0.0003923237471518895,13,1
108,3,0.00017947369633475319,8,1
109,-2,0.00016186601211442254,13,1
110,-5,0.00042848696807595843,16,1
111,8,0.0005343646820013722,3,1
112,-3,0.0002464879216859117,14,1
113,9,0.0001300174481002614,2,1
114,4,0.00012956520575763925,7,1
115,0,9.209671506224285e-05,11,1
116,1,0.00029323974522412757,10,1
117,1,0.00020363526055007243,10,1
118,1,0.00014809006424911785,10,1
119,6,9.798944229260087e-05,5,1
120,-6,5.1437150806818594e-05,17,1
121,-1,0.0002181933717414116,12,1
122,7,0.00011716762855940033,4,1
123,6,0.00014473381161224098,5,1
124,9,6.265062074817251e-05,2,1
125,-5,4.6939150820435316e-05,16,1
126,3,2.8015350153509644e-05,8,1
127,0,0.00016313311127966946,11,1
128,6,0.00014583530864911153,5,1
129,6,0.00010242213029414416,5,1
130,-9,5.537050265047583e-05,20,1
131,8,2.7144537549853947e-05,3,1
132,5,2.071995246903195e-05,6,1
133,1,8.041016853894689e-05,10,1
134,-1,7.489419112971518e-05,12,1
135,-2,4.470078993808084e-05,13,1
136,7,2.2517293928103754e-05,4,1
137,9,1.9924872503906954e-05,2,1
138,0,1.8026338941788047e-05,11,1
139,-27,4.203762109177155e-05,18,0
140,2,2.1935579449442837e-05,9,1
141,6,1.2144074025854934e-05,5,1
142,5,1.1161175128412045e-05,6,1
143,-2,5.318132515150444e-06,13,1
144,-3,3.385757502525978e-05,14,1
145,-10,1.3474396317698328e-05,21,1
146,-2,4.069528691056453e-06,13,1
147,10,5.275388048175955e-06,1,1
148,4,1.3246326781362378e-05,7,1
149,-5,1.249344956022469e-05,16,1
150,-3,4.835641431912206e-06,14,1
151,4,2.554106588702e-06,7,1
152,8,1.7951490841975708e-06,3,1
153,7,2.2385470686003828e-06,4,1
154,5,1.3110224386991831e-05,6,1
155,4,1.0092285330236856e-05,7,1
156,-1,5.7868750218403875e-06,12,1
157,-12,3.2432514780853325e-06,23,1
158,10,8.761966796555498e-07,1,1
159,-1,7.210583859773578e-06,12,1
160,2,5.801169916392408e-06,9,1
