episode,reward,loss,steps,success
1,8,0.0,3,1
2,-22,0.7324380159378052,33,1
3,-22,0.5460627744482323,33,1
4,-50,0.39075252366252244,50,0
5,-41,0.16550799187098164,32,0
6,-34,0.3073043365445402,45,1
7,-50,0.3369302962720394,50,0
8,-21,0.34677787125110626,12,0
9,-18,0.5260004334979587,9,0
10,-39,0.48233804021030663,50,1
11,-50,0.6393488246202469,50,0
12,-22,0.4734724931992017,13,0
13,-11,0.3676160384308208,22,1
14,-50,0.5064065074175597,50,0
15,-39,0.5701966898143291,50,1
16,-50,0.5786513978242874,50,0
17,-38,0.43401358094142406,49,1
18,-50,0.30053864561021326,50,0
19,2,0.37385475801097023,9,1
20,2,0.12475572692023383,9,1
21,8,0.10931914796431859,3,1
22,-1,0.10428676785280307,12,1
23,-31,0.16356878811937003,42,1
24,4,0.10067623215062278,7,1
25,-50,0.11544169675558806,50,0
26,-21,0.0926590998036166,12,0
27,-1,0.13399803607414165,12,1
28,5,0.15169927229483923,6,1
29,-36,0.07462109415296544,47,1
30,-50,0.0483630758151412,50,0
31,-16,0.07436620533742287,27,1
32,-12,0.0660236992103898,23,1
33,-50,0.041953168511390686,50,0
34,-16,0.02312361848141466,7,0
35,-50,0.04025688116438687,50,0
36,-29,0.027173376362770795,40,1
37,0,0.02027825490486893,11,1
38,10,0.008277321234345436,1,1
39,-1,0.018407492665573955,12,1
40,-50,0.00960168223362416,50,0
41,-11,0.0047500002282586965,22,1
42,-9,0.007167127635329962,20,1
43,-41,0.003930017715902068,32,0
44,9,0.005133946193382144,2,1
45,1,0.0039362168405205015,10,1
46,4,0.0027249346686793225,7,1
47,-50,0.002305451149586588,50,0
48,3,0.0014631616068072617,8,1
49,3,0.0010374473567935638,8,1
50,-23,0.0014825936356958533,14,0
51,-9,0.0015813676989637315,20,1
52,6,0.0006172746885567904,5,1
53,-14,0.0008416767232120037,5,0
54,-6,0.00097318588557434,17,1
55,6,0.001933525688946247,5,1
56,-11,0.0011069928877986968,2,0
57,8,0.0011830801765124004,3,1
58,-16,0.0005215443395880155,27,1
59,-25,0.0006917120449038015,36,1
60,-6,0.00033091100597041934,17,1
61,3,0.00019518658154993318,8,1
62,1,0.0009978573783882894,10,1
63,4,0.0005150145734660327,7,1
64,9,0.0005912398919463158,2,1
65,-11,0.0003100385656580329,2,0
66,9,0.0002668587549123913,2,1
67,-6,0.00019855048894361758,17,1
68,10,0.00013070872228126973,1,1
69,-24,0.0003371397197562536,35,1
70,-9,9.491353703197091e-05,20,1
71,10,6.683149695163593e-05,1,1
72,-24,0.00026216390376378385,35,1
73,3,0.00013306473556440324,8,1
74,3,9.954951565305237e-05,8,1
75,1,0.0002558713946200442,10,1
76,-1,0.00018160284768479565,12,1
77,-2,0.00010100274140803286,13,1
78,7,9.727961787575623e-05,4,1
79,1,7.675002852920443e-05,10,1
80,-20,0.00012302158457685203,31,1
81,4,4.3153499843486187e-05,7,1
82,5,2.690049041120801e-05,6,1
83,4,1.736371541483095e-05,7,1
84,-5,0.00011173501889061299,16,1
85,-10,6.195188931693944e-05,21,1
86,10,3.057195135625079e-05,1,1
87,-4,3.4456392252953565e-05,15,1
88,-5,1.5232286017408114e-05,16,1
89,-25,1.799669829930887e-05,36,1
90,-8,5.6904475537808854e-05,19,1
91,-15,2.0425350612640614e-05,26,1
92,4,4.829208968918205e-05,7,1
93,7,3.745898993656738e-05,4,1
94,4,4.4641396795798626e-05,7,1
95,-13,1.8502214478151775e-05,24,1
96,-16,2.3444346138772004e-05,27,1
97,1,1.3885381395084551e-05,10,1
98,-5,8.817518732939789e-06,16,1
99,-5,1.448490054656304e-05,16,1
100,7,1.6790917925391113e-05,4,1
101,5,1.1329134546637457e-05,6,1
102,-10,4.822518619784248e-06,21,1
103,5,2.95889191193055e-06,6,1
104,-5,7.820813927139625e-06,16,1
105,2,5.075530604396287e-06,9,1
106,-3,2.2849684780469815e-06,14,1
107,3,2.1686718412183836e-06,8,1
108,7,1.2008418650566455e-06,4,1
109,10,1.2710779628832825e-06,1,1
110,-18,1.344620147455285e-06,29,1
111,-22,6.768766258064165e-07,33,1
112,-6,5.139355340254363e-07,17,1
113,-1,2.49550917412004e-07,12,1
114,2,1.4904351214934448e-07,9,1
115,-3,5.918080126272278e-07,14,1
116,-13,2.4078473703781356e-07,24,1
117,4,1.3709250522099735e-07,7,1
118,7,1.2422655792931891e-07,4,1
119,2,2.9216075445346075e-07,9,1
120,8,3.0408645557145064e-07,3,1
121,2,2.3847757783338846e-07,9,1
122,-3,1.760341368545986e-07,14,1
123,9,1.9315351806881154e-07,2,1
124,-10,9.707520950049305e-08,21,1
125,-4,1.2723348300861895e-07,15,1
126,0,1.1440678481345788e-07,11,1
127,1,6.470795419488695e-08,10,1
128,0,3.741040382527155e-08,11,1
129,-17,5.33690719871162e-08,28,1
130,3,2.1442138731231353e-08,8,1
131,5,1.8292236910374033e-08,6,1
132,-6,3.204202116707473e-08,17,1
133,-2,2.568251717277165e-08,13,1
134,-1,1.5408106050311215e-08,12,1
135,-4,8.052240267157155e-09,15,1
136,-10,6.516379880139311e-09,1,0
137,5,6.913639142662002e-09,6,1
138,4,4.657995386228972e-09,7,1
139,10,4.757455318582515e-09,1,1
140,2,2.60882172654754e-09,9,1
141,1,2.0222959973281718e-09,10,1
142,-24,1.0456775033164587e-08,35,1
143,0,6.731059386634219e-09,11,1
144,1,4.668423558840118e-09,10,1
145,-2,6.1227637660775915e-09,13,1
146,8,1.2069347595418852e-08,3,1
147,-9,7.621710018668182e-09,20,1
148,-2,3.5499624436633543e-09,13,1
149,7,2.8119425676820242e-09,4,1
150,9,3.854818797499604e-09,2,1
151,4,3.405295727938145e-09,7,1
152,4,3.917224576456744e-09,7,1
153,4,2.601055434528884e-09,7,1
154,4,1.947867518075392e-09,7,1
155,10,6.874430469316906e-10,1,1
156,7,1.0073556572232079e-09,4,1
157,7,8.227820647022099e-10,4,1
158,7,7.494957987574935e-10,4,1
159,7,6.17873530117663e-10,4,1
160,8,7.780729579150621e-10,3,1
161,10,4.860798985539816e-10,1,1
162,10,2.1473705036356705e-09,1,1
163,0,1.8490005890018065e-09,11,1
164,4,8.07343826712627e-10,7,1
