episode,reward,loss,steps,success
1,5,0.0,6,1
2,-12,0.0,23,1
3,-19,0.581915622310979,30,1
4,-50,0.42647837025579066,50,0
5,-50,0.2256155742239207,50,0
6,-42,0.18576606910562876,33,0
7,-50,0.18907589266076685,50,0
8,-30,0.20785893418076562,41,1
9,-16,0.20210496060274266,27,1
10,-50,0.20102012272924186,50,0
11,-50,0.15545813739299774,50,0
12,-50,0.22280263394117356,50,0
13,-13,0.36755670607089996,4,0
14,3,0.20880497246980667,8,1
15,-50,0.2354694424942136,50,0
16,-7,0.08269428451442057,18,1
17,-16,0.29316257982066385,27,1
18,-24,0.14277597168194398,35,1
19,-18,0.24630212436976104,29,1
20,-50,0.18951478423550724,50,0
21,-46,0.15781637351657893,37,0
22,-12,0.19640852438042994,23,1
23,6,0.1784201517701149,5,1
24,-10,0.02974475361406803,1,0
25,-54,0.10451154448091984,45,0
26,-3,0.1599348514739956,14,1
27,-22,0.08398508026518604,33,1
28,-17,0.09157167045798685,28,1
29,6,0.025206833519041537,5,1
30,-18,0.06278498131974504,29,1
31,-50,0.061214418103918436,50,0
32,-3,0.03288487271804895,14,1
33,7,0.09186357911676168,4,1
34,-20,0.05666471965190384,31,1
35,-50,0.07428345823660493,50,0
36,-25,0.06560239016673425,36,1
37,-22,0.04256382286125286,33,1
38,-12,0.014325521265467009,3,0
39,-8,0.0827742152920875,19,1
40,-50,0.024915721719153225,50,0
41,4,0.03522126103884408,7,1
42,-50,0.03186888085794635,50,0
43,-1,0.007653000454107921,12,1
44,-34,0.044650761048412986,45,1
45,-2,0.11040765344380186,13,1
46,-10,0.0286152048252656,21,1
47,-2,0.028113496212217096,13,1
48,-20,0.01137686313520516,31,1
49,-16,0.0013238698011264205,7,0
50,-50,0.0083412127092015,50,0
51,-1,0.0016989702514062326,12,1
52,0,0.0017639131454581564,11,1
53,9,0.0009218599880114198,2,1
54,0,0.0005734704913761975,11,1
55,-1,0.0003428590644034557,12,1
56,2,0.00019276745701467412,9,1
57,9,0.0001600034156581387,2,1
58,-3,0.0011933572469778092,14,1
59,-50,0.0003544660889019724,50,0
60,-28,0.00013261393504739643,39,1
61,-5,0.00018720060324994847,16,1
62,-8,4.931270383454639e-05,19,1
63,4,2.6943660746577996e-05,7,1
64,-4,3.985189399221175e-05,15,1
65,-27,2.5852202977855792e-05,18,0
66,4,8.855670070520968e-06,7,1
67,-21,9.242683944421515e-06,32,1
68,-14,3.8059155849623493e-06,25,1
69,-11,8.15581197276639e-06,22,1
70,-16,5.421146332602282e-06,7,0
71,7,6.311573088169098e-06,4,1
72,-4,4.429647242432111e-06,15,1
73,-2,4.308673615364219e-06,13,1
74,10,1.1427516255935188e-05,1,1
75,-36,5.430419803444777e-06,27,0
76,-14,2.6551699261290196e-06,25,1
77,-24,2.0787803634902956e-06,35,1
78,4,3.7513485397409697e-07,7,1
79,4,2.445447376788122e-06,7,1
80,8,2.988606638609781e-06,3,1
81,-38,9.367781455220749e-07,49,1
82,-12,2.126139217277038e-06,3,0
83,3,1.0674672452637424e-06,8,1
84,-1,5.147916795067431e-07,12,1
85,10,5.164988579053897e-07,1,1
86,5,4.562020023968216e-07,6,1
87,8,2.1483718152618772e-07,3,1
88,-34,3.8656028951638493e-07,45,1
89,-16,1.1365767603267938e-07,7,0
